hat	90	0	0	0.2439227	1.886172	-2.407146
kitchenRoll	0	20	0	0.9973955	0.3561718	-4.90045
mug	0	0	0	1.233923	1.250172	-0.2301465
towel	0	10	0	4.083922	1.145	-2.150146
helmet	0	200.23	0	3.033923	0.2661719	-4.930146
calendar	0	126.93	0	0.7272238	1.316172	-0.1817491
glassContainer	0	0	0	0.1839225	1.85	-0.6001465
knife	0	0	0	0.3839226	0.81	-3.780147
toy	0	30	0	0.2439227	1.322172	-2.390146
fan	0	30.79	0	0.04	1.406172	-0.6243324
bread	0	0	0	1.833923	1.210172	-0.2501465
umbrella	0	0	0	3.373923	1.12	-2.100147
dishes	90	0	0	1.263923	1.805	-0.1101465
bookPile	0	0	0	4.013923	0.2861719	-0.3401465
mixer	0	0	0	2.773923	0.795	-2.820147
microwave	0	90	0	0.3839226	1.42	-2.020146
saucepan	0	40	0	4.203923	1.496172	-4.240143
fruitBowl	0	0	0	4.183923	0.2061719	-3.530147
teaPot	0	20	0	0.4939226	2.07	-4.950147
toaster	0	21.09	0	0.2039225	1.315	-1.3
